TAXA,SITE,AXIS1,AXIS2,CROP
SPIDER,MM1,5.6,2.01,BARL
SPIDER,RH2,5.15,1.85,BARL
SPIDER,RH6,5.31,1.84,BARL
SPIDER,RH7,5.21,1.93,BARL
SPIDER,SAMS1,4.91,1.68,BARL
SPIDER,SAVF1,4.83,1.68,BARL
SPIDER,KPLS1,2.41,0.55,EXTG
SPIDER,KPLS3,3.73,1.73,EXTG
SPIDER,KPLS4,2.56,0.04,EXTG
SPIDER,KPLS5,3.63,1.7,EXTG
SPIDER,KPUS1,1.7,0.43,EXTG
SPIDER,KPUS3,1.85,0.93,EXTG
SPIDER,KPVF3,2.03,0,EXTG
SPIDER,SK6,3.32,1.77,EXTG
SPIDER,SGUF1,1.62,1.67,GORS
SPIDER,CM1,0.94,1.51,HEAT
SPIDER,CM2,0.54,1.97,HEAT
SPIDER,CM3,0.98,0.97,HEAT
SPIDER,KHUS1,1.58,0.69,HEAT
SPIDER,SHUF1,1.19,1.65,HEAT
SPIDER,SHUF2,1.57,1.01,HEAT
SPIDER,SK7,1.94,1,HEAT
SPIDER,MM3,5.89,1.92,OILS
SPIDER,MM4,5.55,2.12,OILS
SPIDER,SAVF2,4.88,1.91,OILS
SPIDER,AU1,4.8,1.72,PAST
SPIDER,AU2,4.84,1.71,PAST
SPIDER,KPVF2,4.74,1.68,PAST
SPIDER,RH1,4.86,1.77,PAST
SPIDER,RH3,4.96,1.8,PAST
SPIDER,RH4,4.81,1.74,PAST
SPIDER,SK1,4.12,1.64,PAST
SPIDER,SK2,2.72,1.68,PAST
SPIDER,SK3,4.17,1.7,PAST
SPIDER,SK4,2.13,3.39,PAST
SPIDER,SK5,3.85,1.58,PAST
SPIDER,SPMS1,4.53,1.6,PAST
SPIDER,SPMS2,4.81,1.67,PAST
SPIDER,SPMS3,3.69,1.34,PAST
SPIDER,SPUF1,4.34,1.59,PAST
SPIDER,SPUS2,4.52,1.64,PAST
SPIDER,SPVF1,4.38,1.41,PAST
SPIDER,SPVF2,4.72,1.68,PAST
SPIDER,SK10,4.09,1.5,ROOT
SPIDER,SK8,3.27,1.61,ROOT
SPIDER,SK9,3.26,1.66,ROOT
SPIDER,SSLS2,4.81,1.69,SETA
SPIDER,MM2,5.7,2.13,WHEA
SPIDER,RH5,5.22,2,WHEA
SPIDER,SALS2,4.8,1.62,WHEA
PLANT,AU1,7.4378,1.5302,PAST
PLANT,AU2,7.085,1.7502,PAST
PLANT,BC1,4.2544,1.4526,EXTG
PLANT,BC2,5.9636,1.9856,PAST
PLANT,BC3,4.7793,2.636,EXTG
PLANT,BC4,3.8367,1.8707,EXTG
PLANT,CM1,0.1268,1.9927,HEAT
PLANT,CM2,0.0215,2.0263,HEAT
PLANT,CM3,0.8842,1.7806,HEAT
PLANT,DF1,6.9334,1.8709,PAST
PLANT,DF2,6.617,1.9614,PAST
PLANT,DF5,7.086,2.0668,PAST
PLANT,DF7,7.4285,2.6525,ROOT
PLANT,GS1,0.1248,1.9948,HEAT
PLANT,GS2,4.9926,1.5868,PAST
PLANT,GS3,0,2.1049,HEAT
PLANT,GS4,6.4866,2.1879,PAST
PLANT,GS5,3.8343,1.6592,GORS
PLANT,MK2,6.7209,1.9333,PAST
PLANT,MM1,8.3269,3.1882,BARL
PLANT,MM3,8.3143,2.8217,OILS
PLANT,MM4,7.7122,2.5212,OILS
PLANT,RH1,6.8908,1.8989,PAST
PLANT,RH2,8.2706,1.4562,BARL
PLANT,RH3,6.6633,2.0233,PAST
PLANT,RH4,6.831,1.9243,PAST
PLANT,RH5,9.2349,1.1237,WHEA
PLANT,RH6,8.9076,1.5588,BARL
PLANT,RH7,8.4236,1.8568,BARL
PLANT,SK1,4.9452,1.3543,PAST
PLANT,SK10,5.942,0.5293,ROOT
PLANT,SK2,4.2809,1.5142,PAST
PLANT,SK3,5.9918,1.5573,PAST
PLANT,SK4,4.792,0,PAST
PLANT,SK5,5.6259,1.636,PAST
PLANT,SK6,3.8374,1.5326,EXTG
PLANT,SK7,0.7841,1.8886,HEAT
PLANT,SK8,5.734,2.0275,ROOT
PLANT,SK9,5.2013,0.5709,ROOT
PLANT,WP1,6.947,1.6889,PAST
PLANT,khus1,1.055,1.9521,HEAT
PLANT,kpls1,1.4687,1.7703,EXTG
PLANT,kpls2,3.1484,1.9064,EXTG
PLANT,kpls3,4.0921,1.7484,EXTG
PLANT,kpls4,2.6035,2.6657,EXTG
PLANT,kpls5,4.3259,2.0622,EXTG
PLANT,kpuf1,1.2393,1.2456,EXTG
PLANT,kpus1,2.4779,1.3343,EXTG
PLANT,kpus2,2.6711,1.0621,EXTG
PLANT,kpus3,3.6073,1.8871,EXTG
PLANT,kpvf1,6.8043,1.8331,EXTG
PLANT,kpvf2,6.5473,1.8344,PAST
PLANT,sals1,7.5506,3.1133,BARL
PLANT,sals2,7.6015,2.8146,WHEA
PLANT,sams1,7.788,3.1179,BARL
PLANT,sams2,7.1652,2.8669,BARL
PLANT,savf1,6.9625,1.7733,BARL
PLANT,savf2,7.9849,3.4266,OILS
PLANT,savf3,7.6635,2.7193,OILS
PLANT,sguf1,3.415,2.2233,GORS
PLANT,sgus1,4.5501,2.4393,GORS
PLANT,shuf1,0.4468,2.0549,HEAT
PLANT,shuf2,1.5286,1.1092,HEAT
PLANT,spms1,6.8352,1.8739,PAST
PLANT,spms2,6.7938,1.8449,PAST
PLANT,spms3,6.2398,1.8309,PAST
PLANT,spms4,5.3771,1.7876,PAST
PLANT,spuf1,5.9108,2.0207,PAST
PLANT,spuf2,6.2666,1.9793,PAST
PLANT,spus1,6.5688,1.9609,PAST
PLANT,spus2,6.3978,1.9623,PAST
PLANT,spvf1,5.2713,4.0308,PAST
PLANT,spvf2,6.788,1.9214,PAST
PLANT,ssls1,7.3705,2.9707,PAST
PLANT,ssls2,7.2719,3.1121,SETA
