SCENARIO,COMPONENT,AREA,TYPE,NVC,HEDGE,ALTITUDE,CUTTING,WALL,CATTLE
INDIVIDUAL,1,10,PAST,2,0,100,3,0,0
INDIVIDUAL,2,10,BARL,1,0,100,1,0,0
INDIVIDUAL,3,10,WHEA,1,0,100,1,0,0
INDIVIDUAL,4,10,OILS,1,0,100,1,0,0
INDIVIDUAL,5,10,ROOT,1,0,100,1,0,0
INDIVIDUAL,6,10,EXTG,7,0,100,1,0,0
INDIVIDUAL,7,10,SETA,1,0,100,1,0,0
BL,1,25.6,PAST,2,0,100,3,0,0
BL,2,11.9,BARL,1,0,100,1,0,0
BL,3,15.4,WHEA,1,0,100,1,0,0
BL,4,50,OILS,1,0,100,1,0,0
BL,5,0.9,ROOT,1,0,100,1,0,0
PC1,1,28.4,PAST,2,0,100,3,0,0
PC1,2,3.7,BARL,1,0,100,1,0,0
PC1,3,15.8,WHEA,1,0,100,1,0,0
PC1,4,52,OILS,1,0,100,1,0,0
PC1,5,3.1,ROOT,1,0,100,1,0,0
PC2,1,28.4,PAST,2,0,100,3,0,0
PC2,2,3.7,BARL,1,0,100,1,0,0
PC2,3,13.5,WHEA,1,0,100,1,0,0
PC2,4,49.3,OILS,1,0,100,1,0,0
PC2,5,3.1,ROOT,1,0,100,1,0,0
PC3,1,28.6,PAST,2,0,100,3,0,0
PC3,2,6.3,BARL,1,0,100,1,0,0
PC3,3,14.7,WHEA,1,0,100,1,0,0
PC3,4,44.7,OILS,1,0,100,1,0,0
PC3,5,2.2,ROOT,1,0,100,1,0,0
PC4,1,31.6,PAST,2,0,100,3,0,0
PC4,2,3.4,BARL,1,0,100,1,0,0
PC4,3,12.8,WHEA,1,0,100,1,0,0
PC4,4,41.7,OILS,1,0,100,1,0,0
PC4,5,2.8,ROOT,1,0,100,1,0,0
PC5,1,31.6,PAST,2,0,100,3,0,0
PC5,2,9.3,BARL,1,0,100,1,0,0
PC5,3,9.5,WHEA,1,0,100,1,0,0
PC5,4,36.7,OILS,1,0,100,1,0,0
PC5,5,3.1,ROOT,1,0,100,1,0,0
MSL,1,30,PAST,2,0,100,3,0,0
MSL,2,3.7,BARL,1,0,100,1,0,0
MSL,3,13.5,WHEA,1,0,100,1,0,0
MSL,4,38,OILS,1,0,100,1,0,0
MSL,5,3.1,ROOT,1,0,100,1,0,0
NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHS,1,35.3,PAST,2,0,100,3,0,0
MHS,2,4.4,BARL,1,0,100,1,0,0
MHS,3,15.9,WHEA,1,0,100,1,0,0
MHS,4,44.7,OILS,1,0,100,1,0,0
MHS,5,3.6,ROOT,1,0,100,1,0,0
MSL.PAST,1,30,PAST,2,0,100,3,0,0
MSL.PAST,2,3.7,BARL,1,0,100,1,0,0
MSL.PAST,3,13.5,WHEA,1,0,100,1,0,0
MSL.PAST,4,38,OILS,1,0,100,1,0,0
MSL.PAST,5,3.1,ROOT,1,0,100,1,0,0
MSL.PAST,6,15.5,PAST,2,0,100,3,0,0
MSL.BARL,1,30,PAST,2,0,100,3,0,0
MSL.BARL,2,3.7,BARL,1,0,100,1,0,0
MSL.BARL,3,13.5,WHEA,1,0,100,1,0,0
MSL.BARL,4,38,OILS,1,0,100,1,0,0
MSL.BARL,5,3.1,ROOT,1,0,100,1,0,0
MSL.BARL,6,15.5,BARL,1,0,100,1,0,0
MSL.WHEA,1,30,PAST,2,0,100,3,0,0
MSL.WHEA,2,3.7,BARL,1,0,100,1,0,0
MSL.WHEA,3,13.5,WHEA,1,0,100,1,0,0
MSL.WHEA,4,38,OILS,1,0,100,1,0,0
MSL.WHEA,5,3.1,ROOT,1,0,100,1,0,0
MSL.WHEA,6,15.5,WHEA,1,0,100,1,0,0
MSL.OILS,1,30,PAST,2,0,100,3,0,0
MSL.OILS,2,3.7,BARL,1,0,100,1,0,0
MSL.OILS,3,13.5,WHEA,1,0,100,1,0,0
MSL.OILS,4,38,OILS,1,0,100,1,0,0
MSL.OILS,5,3.1,ROOT,1,0,100,1,0,0
MSL.OILS,6,15.5,OILS,1,0,100,1,0,0
MSL.ROOT,1,30,PAST,2,0,100,3,0,0
MSL.ROOT,2,3.7,BARL,1,0,100,1,0,0
MSL.ROOT,3,13.5,WHEA,1,0,100,1,0,0
MSL.ROOT,4,38,OILS,1,0,100,1,0,0
MSL.ROOT,5,3.1,ROOT,1,0,100,1,0,0
MSL.ROOT,6,15.5,ROOT,1,0,100,1,0,0
MSL.EXTG,1,30,PAST,2,0,100,3,0,0
MSL.EXTG,2,3.7,BARL,1,0,100,1,0,0
MSL.EXTG,3,13.5,WHEA,1,0,100,1,0,0
MSL.EXTG,4,38,OILS,1,0,100,1,0,0
MSL.EXTG,5,3.1,ROOT,1,0,100,1,0,0
MSL.EXTG,6,15.5,EXTG,7,0,100,1,0,0
PC3.PAST,1,28.6,PAST,2,0,100,3,0,0
PC3.PAST,2,6.3,BARL,1,0,100,1,0,0
PC3.PAST,3,14.7,WHEA,1,0,100,1,0,0
PC3.PAST,4,44.7,OILS,1,0,100,1,0,0
PC3.PAST,5,2.2,ROOT,1,0,100,1,0,0
PC3.PAST,6,7.3,PAST,2,0,100,3,0,0
PC3.BARL,1,28.6,PAST,2,0,100,3,0,0
PC3.BARL,2,6.3,BARL,1,0,100,1,0,0
PC3.BARL,3,14.7,WHEA,1,0,100,1,0,0
PC3.BARL,4,44.7,OILS,1,0,100,1,0,0
PC3.BARL,5,2.2,ROOT,1,0,100,1,0,0
PC3.BARL,6,7.3,BARL,1,0,100,1,0,0
PC3.WHEA,1,28.6,PAST,2,0,100,3,0,0
PC3.WHEA,2,6.3,BARL,1,0,100,1,0,0
PC3.WHEA,3,14.7,WHEA,1,0,100,1,0,0
PC3.WHEA,4,44.7,OILS,1,0,100,1,0,0
PC3.WHEA,5,2.2,ROOT,1,0,100,1,0,0
PC3.WHEA,6,7.3,WHEA,1,0,100,1,0,0
PC3.OILS,1,28.6,PAST,2,0,100,3,0,0
PC3.OILS,2,6.3,BARL,1,0,100,1,0,0
PC3.OILS,3,14.7,WHEA,1,0,100,1,0,0
PC3.OILS,4,44.7,OILS,1,0,100,1,0,0
PC3.OILS,5,2.2,ROOT,1,0,100,1,0,0
PC3.OILS,6,7.3,OILS,1,0,100,1,0,0
PC3.ROOT,1,28.6,PAST,2,0,100,3,0,0
PC3.ROOT,2,6.3,BARL,1,0,100,1,0,0
PC3.ROOT,3,14.7,WHEA,1,0,100,1,0,0
PC3.ROOT,4,44.7,OILS,1,0,100,1,0,0
PC3.ROOT,5,2.2,ROOT,1,0,100,1,0,0
PC3.ROOT,6,7.3,ROOT,1,0,100,1,0,0
PC3.EXTG,1,28.6,PAST,2,0,100,3,0,0
PC3.EXTG,2,6.3,BARL,1,0,100,1,0,0
PC3.EXTG,3,14.7,WHEA,1,0,100,1,0,0
PC3.EXTG,4,44.7,OILS,1,0,100,1,0,0
PC3.EXTG,5,2.2,ROOT,1,0,100,1,0,0
PC3.EXTG,6,7.3,EXTG,7,0,100,1,0,0
PC5.PAST,1,31.6,PAST,2,0,100,3,0,0
PC5.PAST,2,9.3,BARL,1,0,100,1,0,0
PC5.PAST,3,9.5,WHEA,1,0,100,1,0,0
PC5.PAST,4,36.7,OILS,1,0,100,1,0,0
PC5.PAST,5,3.1,ROOT,1,0,100,1,0,0
PC5.PAST,6,13.7,PAST,2,0,100,3,0,0
PC5.BARL,1,31.6,PAST,2,0,100,3,0,0
PC5.BARL,2,9.3,BARL,1,0,100,1,0,0
PC5.BARL,3,9.5,WHEA,1,0,100,1,0,0
PC5.BARL,4,36.7,OILS,1,0,100,1,0,0
PC5.BARL,5,3.1,ROOT,1,0,100,1,0,0
PC5.BARL,6,13.7,BARL,1,0,100,1,0,0
PC5.WHEA,1,31.6,PAST,2,0,100,3,0,0
PC5.WHEA,2,9.3,BARL,1,0,100,1,0,0
PC5.WHEA,3,9.5,WHEA,1,0,100,1,0,0
PC5.WHEA,4,36.7,OILS,1,0,100,1,0,0
PC5.WHEA,5,3.1,ROOT,1,0,100,1,0,0
PC5.WHEA,6,13.7,WHEA,1,0,100,1,0,0
PC5.OILS,1,31.6,PAST,2,0,100,3,0,0
PC5.OILS,2,9.3,BARL,1,0,100,1,0,0
PC5.OILS,3,9.5,WHEA,1,0,100,1,0,0
PC5.OILS,4,36.7,OILS,1,0,100,1,0,0
PC5.OILS,5,3.1,ROOT,1,0,100,1,0,0
PC5.OILS,6,13.7,OILS,1,0,100,1,0,0
PC5.ROOT,1,31.6,PAST,2,0,100,3,0,0
PC5.ROOT,2,9.3,BARL,1,0,100,1,0,0
PC5.ROOT,3,9.5,WHEA,1,0,100,1,0,0
PC5.ROOT,4,36.7,OILS,1,0,100,1,0,0
PC5.ROOT,5,3.1,ROOT,1,0,100,1,0,0
PC5.ROOT,6,13.7,ROOT,1,0,100,1,0,0
PC5.EXTG,1,31.6,PAST,2,0,100,3,0,0
PC5.EXTG,2,9.3,BARL,1,0,100,1,0,0
PC5.EXTG,3,9.5,WHEA,1,0,100,1,0,0
PC5.EXTG,4,36.7,OILS,1,0,100,1,0,0
PC5.EXTG,5,3.1,ROOT,1,0,100,1,0,0
PC5.EXTG,6,13.7,EXTG,7,0,100,1,0,0
PC1.PAST,1,28.37209302,PAST,2,0,100,3,0,0
PC1.PAST,2,3.728813559,BARL,1,0,100,1,0,0
PC1.PAST,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.PAST,4,52,OILS,1,0,100,1,0,0
PC1.PAST,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.PAST,6,0.821843082,PAST,2,0,100,3,0,0
PC1.BARL,1,28.37209302,PAST,2,0,100,3,0,0
PC1.BARL,2,3.728813559,BARL,1,0,100,1,0,0
PC1.BARL,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.BARL,4,52,OILS,1,0,100,1,0,0
PC1.BARL,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.BARL,6,0.821843082,BARL,1,0,100,1,0,0
PC1.WHEA,1,28.37209302,PAST,2,0,100,3,0,0
PC1.WHEA,2,3.728813559,BARL,1,0,100,1,0,0
PC1.WHEA,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.WHEA,4,52,OILS,1,0,100,1,0,0
PC1.WHEA,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.WHEA,6,0.821843082,WHEA,1,0,100,1,0,0
PC1.OILS,1,28.37209302,PAST,2,0,100,3,0,0
PC1.OILS,2,3.728813559,BARL,1,0,100,1,0,0
PC1.OILS,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.OILS,4,52,OILS,1,0,100,1,0,0
PC1.OILS,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.OILS,6,0.821843082,OILS,1,0,100,1,0,0
PC1.ROOT,1,28.37209302,PAST,2,0,100,3,0,0
PC1.ROOT,2,3.728813559,BARL,1,0,100,1,0,0
PC1.ROOT,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.ROOT,4,52,OILS,1,0,100,1,0,0
PC1.ROOT,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.ROOT,6,0.821843082,ROOT,1,0,100,1,0,0
PC1.EXTG,1,28.37209302,PAST,2,0,100,3,0,0
PC1.EXTG,2,3.728813559,BARL,1,0,100,1,0,0
PC1.EXTG,3,15.81081081,WHEA,1,0,100,1,0,0
PC1.EXTG,4,52,OILS,1,0,100,1,0,0
PC1.EXTG,5,3.058823529,ROOT,1,0,100,1,0,0
PC1.EXTG,6,0.821843082,EXTG,7,0,100,1,0,0
PC2.PAST,1,28.37209302,PAST,2,0,100,3,0,0
PC2.PAST,2,3.728813559,BARL,1,0,100,1,0,0
PC2.PAST,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.PAST,4,49.33333333,OILS,1,0,100,1,0,0
PC2.PAST,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.PAST,6,5.785807046,PAST,2,0,100,3,0,0
PC2.BARL,1,28.37209302,PAST,2,0,100,3,0,0
PC2.BARL,2,3.728813559,BARL,1,0,100,1,0,0
PC2.BARL,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.BARL,4,49.33333333,OILS,1,0,100,1,0,0
PC2.BARL,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.BARL,6,5.785807046,BARL,1,0,100,1,0,0
PC2.WHEA,1,28.37209302,PAST,2,0,100,3,0,0
PC2.WHEA,2,3.728813559,BARL,1,0,100,1,0,0
PC2.WHEA,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.WHEA,4,49.33333333,OILS,1,0,100,1,0,0
PC2.WHEA,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.WHEA,6,5.785807046,WHEA,1,0,100,1,0,0
PC2.OILS,1,28.37209302,PAST,2,0,100,3,0,0
PC2.OILS,2,3.728813559,BARL,1,0,100,1,0,0
PC2.OILS,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.OILS,4,49.33333333,OILS,1,0,100,1,0,0
PC2.OILS,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.OILS,6,5.785807046,OILS,1,0,100,1,0,0
PC2.ROOT,1,28.37209302,PAST,2,0,100,3,0,0
PC2.ROOT,2,3.728813559,BARL,1,0,100,1,0,0
PC2.ROOT,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.ROOT,4,49.33333333,OILS,1,0,100,1,0,0
PC2.ROOT,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.ROOT,6,5.785807046,ROOT,1,0,100,1,0,0
PC2.EXTG,1,28.37209302,PAST,2,0,100,3,0,0
PC2.EXTG,2,3.728813559,BARL,1,0,100,1,0,0
PC2.EXTG,3,13.51351351,WHEA,1,0,100,1,0,0
PC2.EXTG,4,49.33333333,OILS,1,0,100,1,0,0
PC2.EXTG,5,3.058823529,ROOT,1,0,100,1,0,0
PC2.EXTG,6,5.785807046,EXTG,7,0,100,1,0,0
PC4.PAST,1,31.62790698,PAST,2,0,100,3,0,0
PC4.PAST,2,3.389830508,BARL,1,0,100,1,0,0
PC4.PAST,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.PAST,4,41.66666667,OILS,1,0,100,1,0,0
PC4.PAST,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.PAST,6,11.4466126,PAST,2,0,100,3,0,0
PC4.BARL,1,31.62790698,PAST,2,0,100,3,0,0
PC4.BARL,2,3.389830508,BARL,1,0,100,1,0,0
PC4.BARL,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.BARL,4,41.66666667,OILS,1,0,100,1,0,0
PC4.BARL,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.BARL,6,11.4466126,BARL,1,0,100,1,0,0
PC4.WHEA,1,31.62790698,PAST,2,0,100,3,0,0
PC4.WHEA,2,3.389830508,BARL,1,0,100,1,0,0
PC4.WHEA,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.WHEA,4,41.66666667,OILS,1,0,100,1,0,0
PC4.WHEA,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.WHEA,6,11.4466126,WHEA,1,0,100,1,0,0
PC4.OILS,1,31.62790698,PAST,2,0,100,3,0,0
PC4.OILS,2,3.389830508,BARL,1,0,100,1,0,0
PC4.OILS,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.OILS,4,41.66666667,OILS,1,0,100,1,0,0
PC4.OILS,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.OILS,6,11.4466126,OILS,1,0,100,1,0,0
PC4.ROOT,1,31.62790698,PAST,2,0,100,3,0,0
PC4.ROOT,2,3.389830508,BARL,1,0,100,1,0,0
PC4.ROOT,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.ROOT,4,41.66666667,OILS,1,0,100,1,0,0
PC4.ROOT,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.ROOT,6,11.4466126,ROOT,1,0,100,1,0,0
PC4.EXTG,1,31.62790698,PAST,2,0,100,3,0,0
PC4.EXTG,2,3.389830508,BARL,1,0,100,1,0,0
PC4.EXTG,3,12.83783784,WHEA,1,0,100,1,0,0
PC4.EXTG,4,41.66666667,OILS,1,0,100,1,0,0
PC4.EXTG,5,2.823529412,ROOT,1,0,100,1,0,0
PC4.EXTG,6,11.4466126,EXTG,7,0,100,1,0,0
